Title,ISBN,Author,Book type,Original Price,Discounted Price,ISBN-10,Published Date,Publisher,No. of Pages
Star Trek,9780743499965,Vonda N. McIntyre,917505,23.99,23.99,743499964,26-10-2004,Pocket Books/Star Trek,464
The Last Astronaut,9780356512280,David Wellington,917505,12.99,12.99,356512282,23-07-2019,"Little, Brown Book Group",384
book not found,9780395657867,,,,,,,,
Missing Me,9780857077295,Sophie McKenzie,917505,10.99,10.99,857077295,13-09-2012,Simon & Schuster UK,304
Emotional Agility,9780241976579,Susan David,917505,15.99,15.99,024197657X,07-04-2016,Penguin Books Ltd,272
book not found,9780307796189,,,,,,,,
Violets are Blue,9780755387359,James Patterson,917505,12.99,12.99,075538735X,23-06-2011,Headline,335
Exit Strategy,9781250185464,Martha Wells,917505,20.53,16.99,1250185467,02-10-2018,Tor Publishing Group,
The Island,9780755352449,Victoria Hislop,917505,11.99,11.99,755352440,10-02-2008,Headline,300
book not found,9781306020725,,,,,,,,
book not found,9780141388786,,,,,,,,
Naked Statistics,9780393347777,Charles Wheelan,917504,29.95,22.25,039334777X,13-01-2014,W W Norton & Company,304
book not found,9781370211678,,,,,,,,
An Offer You Can't Refuse,9780755352012,Jill Mansell,917505,12.99,12.99,755352017,10-02-2008,Headline,300
Mist's Edge,9781370483051,T.A. White,917505,5.48,5.48,1370483058,28-11-2017,T.A. White,
book not found,9781105795985,,,,,,,,
book not found,9781405935616,,,,,,,,
book not found,9780230763043,,,,,,,,
East of Eden,9780141923505,"David Wyatt, John Steinbeck",917505,15.99,15.99,141923504,07-09-2000,Penguin Books Ltd,640
The 7 Second CV,9780753553084,James Reed,917505,18.99,18.99,753553082,03-01-2019,Ebury Publishing,208
Sharp Objects,9780297860242,Gillian Flynn,917505,11.99,11.99,297860240,03-09-2009,Orion,336
The Hairy Bikers' Big Book of Baking,9780297868385,Hairy Bikers,917505,19.99,19.99,297868381,01-03-2012,Orion,224
The Outcast Dead,9780857388926,Elly Griffiths,917505,11.99,11.99,857388924,30-01-2014,Quercus,400
Dark Places,9780297855873,Gillian Flynn,917505,12.99,11.99,297855875,14-05-2009,Orion,368
Revenge of the Middle-Aged Woman,9780141924434,Elizabeth Buchan,917505,15.99,15.99,141924438,02-08-2007,Penguin Books Ltd,384
book not found,9780230761223,,,,,,,,
As I Walked Out One Midsummer Morning,9780141397030,Laurie Lee,917505,14.99,14.99,141397039,26-06-2014,Penguin Books Ltd,224
"Once, Twice, Three Times an Aisling",9781405938259,"Emer McLysaght, Sarah Breen",917505,15.99,15.99,1405938250,19-09-2019,Penguin Books Ltd,416
This Charming Man,9780141909776,Marian Keyes,917505,15.99,15.99,141909773,30-04-2008,Penguin Books Ltd,912
Kingdom of Fear,9780241958735,Hunter S Thompson,917505,15.99,15.99,241958733,24-11-2011,Penguin Books Ltd,384
The Other Daughter,9780755396511,Lisa Gardner,917504,24.99,21.75,755396510,13-11-2012,Headline,416
book not found,9780316262330,,,,,,,,
Letters from a Stoic,9780141914527,"Seneca, Robin Campbell, Robin Campbell, Robin Campbell",917505,10.99,10.99,141914521,26-08-2004,Penguin Books Ltd,256
book not found,9780330473033,,,,,,,,
book not found,9780330513142,,,,,,,,
The Way Of Shadows,9780748112586,Brent Weeks,917505,11.99,11.99,748112588,11-06-2009,"Little, Brown Book Group",688
Seeing Behind the Veil,9780768442830,Ana Werner,917504,46.25,46.25,768442834,18-09-2018,DESTINY IMAGE INC             ,240
book not found,9781407056982,,,,,,,,
Four Blind Mice,9780755387144,James Patterson,917505,12.99,12.99,755387147,23-06-2011,Headline,330
The Sixth Extinction,9781408851234,Elizabeth Kolbert,917505,15.99,13.99,1408851237,13-02-2014,Bloomsbury Publishing,336
The Republic of Thieves,9780575088238,Scott Lynch,917505,12.99,12.99,575088230,10-10-2013,Orion,880
Wanderers,9780399182112,Chuck Wendig,917505,23.99,19.99,039918211X,02-07-2019,Random House Worlds,
The Templar's Code,9780141960654,Chloe M. Palov,917505,15.99,15.99,141960655,28-10-2010,Penguin Books Ltd,528
book not found,9780785160069,,,,,,,,
A Lion Among Men,9780061981746,Gregory Maguire,917505,10.99,10.99,61981745,06-10-2009,HarperCollins,400
book not found,9781365014925,,,,,,,,
book not found,9780857056443,,,,,,,,
Vile Bodies,9780141190693,Evelyn Waugh,917505,15.99,15.99,141190698,31-05-2012,Penguin Books Ltd,256
Glory in Death,9780748121762,J.D. Robb,917505,11.99,11.99,748121765,07-10-2010,"Little, Brown Book Group",336
The Secret History,9781405529631,Donna Tartt,917505,11.99,11.99,1405529636,02-05-2013,"Little, Brown Book Group",544
Peace Comes to Honeyfield,9780749020552,Anna Jacobs,917504,25.75,25.75,749020555,01-05-2019,Faber Factory,352
The Humans,9780857868770,Matt Haig,917505,21.08,16.99,857868772,09-05-2013,Canongate Books,304
Close Call,9781408841068,Stella Rimington,917505,17.58,14.99,1408841061,03-07-2014,Bloomsbury Publishing,352
The Infinite Game,9780241979723,Simon Sinek,917505,19.99,19.99,241979722,15-10-2019,Penguin Books Ltd,256
The Jeeves Omnibus - Vol 1,9781407070711,P G Wodehouse,917505,17.99,17.99,1407070711,29-02-2012,Random House,592
book not found,9780544245587,,,,,,,,
Shadow Hunter,9781448151523,Geoffrey Archer,917505,15.99,15.99,144815152X,17-08-2012,Random House,320
Tripwire,9781407070216,Lee Child,917505,16.99,16.99,1407070215,04-09-2008,Transworld,560
The Night Stalker,9780857202970,Chris Carter,917504,22.99,20.40,857202979,01-03-2012,Simon & Schuster UK,464
Fred & Rose,9781405512176,Howard Sounes,917505,11.99,11.99,1405512172,05-09-2011,"Little, Brown Book Group",384
Regeneration,9780141906430,Pat Barker,917505,15.99,15.99,014190643X,01-05-2008,Penguin Books Ltd,256
Glow,9780544759213,W. H. Beck,917505,11.99,11.99,544759214,15-12-2015,HarperCollins,32
The Devil's Alternative,9781407096186,Frederick Forsyth,917505,15.99,15.99,1407096184,30-05-2011,Random House,496
The Gladiator (Eagles of the Empire 9),9780755353453,Simon Scarrow,917505,12.99,12.99,755353455,06-08-2009,Headline,320
Friends In High Places,9781407070544,Donna Leon,917505,15.99,15.99,1407070541,13-04-2010,Random House,336
Cinderella Sister,9781407071879,Dilly Court,917505,15.99,15.99,1407071874,02-06-2011,Random House,512
Magnus Chase and the Ship of the Dead (Book 3),9780141342610,Rick Riordan,917505,9.99,9.99,141342617,03-10-2017,Penguin Random House Children's UK,528
book not found,9780316252997,,,,,,,,
The Leopard,9781407086071,"Jo Nesbo, Don Bartlett",917505,15.99,15.99,1407086073,20-01-2011,Random House,752
Kill Your Friends,9781407010953,John Niven,917505,15.99,15.99,1407010956,16-12-2008,Random House,336
The Winter King,9780141952123,Bernard Cornwell,917505,15.99,15.99,141952121,01-11-2007,Penguin Books Ltd,512
book not found,9780297855897,,,,,,,,
The Whisper Man,9781405936019,Alex North,917505,15.99,15.99,1405936010,13-06-2019,Penguin Books Ltd,400
Grand Union,9780241983133,Zadie Smith,917505,15.99,15.99,241983134,03-10-2019,Penguin Books Ltd,304
"Mary, Mary",9780755387199,James Patterson,917505,12.99,12.99,755387198,28-04-2011,Headline,327
book not found,9780998151649,,,,,,,,
Someone to Trust,9780349419220,Mary Balogh,917504,22.99,20.40,349419221,27-11-2018,Little Brown,400
Blink,9780141930183,Malcolm Gladwell,917505,15.99,15.99,141930187,23-02-2006,Penguin Books Ltd,304
book not found,9780755118397,,,,,,,,
book not found,9780230752368,,,,,,,,
The Orphan's Tales,9780553903102,Catherynne Valente,917505,10.27,9.99,553903101,31-10-2006,Random House Worlds,
The Testing Guide,9780544084780,Joelle Charbonneau,917505,4.99,4.99,544084780,01-05-2013,HarperCollins,
The Beautiful Summer,9780241983409,"Cesare Pavese, Elizabeth Strout",917505,15.99,15.99,241983401,07-06-2018,Penguin Books Ltd,112
Body Of Evidence,9780748109272,Patricia Cornwell,917505,11.99,11.99,748109277,04-09-2008,"Little, Brown Book Group",400
Split Second,9781529003314,David Baldacci,917504,19.99,18.25,1529003318,12-11-2019,Pan Macmillan UK,608
Best ever recipes,9781409003175,Slimming World,917505,21.99,21.99,1409003175,30-04-2014,Ebury Publishing,208
The Separation,9780241966068,Dinah Jefferies,917505,15.99,15.99,024196606X,22-05-2014,Penguin Books Ltd,320
book not found,9780330461931,,,,,,,,
What Are You Looking At?,9780670920501,Will Gompertz,917505,16.99,16.99,670920509,06-09-2012,Penguin Books Ltd,464
Orlando,9780857863430,Virginia Woolf,917505,13.74,11.99,857863436,05-01-2012,Canongate Books,192
A Christmas Carol,9780553897050,Charles Dickens,917505,8.55,7.99,553897055,26-11-2002,Random House Publishing Group,
The Wasp Factory,9780748109951,Iain Banks,917505,11.99,11.99,748109951,04-09-2008,"Little, Brown Book Group",256
Warbreaker,9780575097476,Brandon Sanderson,917505,11.99,11.99,575097477,29-12-2011,Orion,688
How to be Both,9780241965610,Ali Smith,917505,15.99,15.99,241965616,28-08-2014,Penguin Books Ltd,320
Caesar,9780297864004,"Adrian Goldsworthy, Dr Adrian Goldsworthy Ltd",917505,17.99,17.99,297864009,18-04-2013,Orion,704
Ruth's First Christmas Tree,9780544147775,Elly Griffiths,917505,4.99,4.99,544147774,11-12-2012,HarperCollins,
book not found,9781306863421,,,,,,,,
Dune Messiah,9780575104426,Frank Herbert,917505,24.99,24.99,575104422,14-07-2011,Orion,416
Agent Running in the Field,9780241986554,John le Carré,917505,15.99,15.99,241986559,17-10-2019,Penguin Books Ltd,272
I Looked Away,9780241984642,Jane Corry,917505,15.99,15.99,241984645,21-06-2019,Penguin Books Ltd,464
The Moral Economists,9781400888023,Tim Rogan,917505,47.29,37.99,1400888026,18-12-2017,Princeton University Press,280
Novacene,9780241399378,James Lovelock,917505,16.99,16.99,241399378,04-07-2019,Penguin Books Ltd,160
Exile,9781785760457,James Swallow,917504,27.99,23.75,1785760459,24-04-2018,Bonnier,576
Scoop,9780141907178,Evelyn Waugh,917505,15.99,15.99,141907177,31-05-2012,Penguin Books Ltd,240
Natural Causes,9781405913157,James Oswald,917505,15.99,15.99,1405913150,22-11-2012,Penguin Books Ltd,400
book not found,9780230772021,,,,,,,,
The Darkness,9781405930819,"Ragnar Jónasson, Victoria Cribb",917505,15.99,15.99,1405930810,15-03-2018,Penguin Books Ltd,400
The Last Man,9780857208750,Vince Flynn,917505,4.99,4.99,857208756,13-11-2012,Simon & Schuster UK,448
New Joe Abercrombie Novel #1,9780316187169,Joe Abercrombie,917504,51.75,51.75,031618716X,17-09-2019,ORBIT                         ,480
X-Men,9780785171454,"Chris Claremont, John Byrne",917505,24.93,20.99,785171452,13-03-2019,Marvel Entertainment,
"How to Care for Aging Parents, 3rd Edition",9780761178668,Virginia Morris,917505,23.99,23.99,076117866X,11-02-2014,Workman Publishing Company,688
Silence Of The Grave,9781407020952,"Arnaldur Indridason, Bernard Scudder",917505,15.99,15.99,1407020951,26-12-2008,Random House,304
Soul Music,9781407034935,Terry Pratchett,917505,14.99,14.99,1407034936,27-05-2009,Transworld,432
Small Island,9780755307500,Andrea Levy,917504,24.99,21.75,075530750X,01-01-2010,Headline,560
The Moon is Down,9780141912554,"Donald Coers, John Steinbeck",917505,15.99,15.99,141912553,30-11-2000,Penguin Books Ltd,144
book not found,9781401937522,,,,,,,,
2nd Chance,9780755349272,"James Patterson, Andrew Gross",917504,22.99,20.40,075534927X,01-08-2009,Headline,432
The Good Liar,9780241973288,Nicholas Searle,917505,15.99,15.99,241973287,31-12-2015,Penguin Books Ltd,288
Andrew Carnegie,9781101201794,David Nasaw,917505,15.42,12.99,1101201797,30-10-2007,Penguin Publishing Group,896
No Further Questions,9781405934671,Gillian McAllister,917505,15.99,15.99,1405934670,02-07-2018,Penguin Books Ltd,400
Use of Weapons,9780748110087,Iain M. Banks,917505,12.99,12.99,748110089,04-09-2008,"Little, Brown Book Group",432
book not found,9780316252966,,,,,,,,
The Betrayal,9780141946030,Helen Dunmore,917505,15.99,15.99,141946032,29-04-2010,Penguin Books Ltd,336
book not found,9780857346568,,,,,,,,
The Witches,9780141930176,"Roald Dahl, Quentin Blake",917505,9.99,9.99,141930179,06-09-2007,Penguin Random House Children's UK,224
Taunting Destiny,9781301211227,Amelia Hutchins,917505,6.99,6.99,1301211222,30-07-2015,Amelia Hutchins,
book not found,9781455550791,,,,,,,,
book not found,9780989929158,,,,,,,,
The Book of Chuang Tzu,9780141913995,"Chuang Tzu, Martin Palmer",917505,14.99,14.99,141913991,30-11-2006,Penguin Books Ltd,352
Fingersmith,9780748129232,Sarah Waters,917505,11.99,11.99,748129235,03-02-2011,"Little, Brown Book Group",560
book not found,9781281372048,,,,,,,,
Revolution 1989,9780297857884,Victor Sebestyen,917505,19.99,19.99,297857886,30-07-2009,Orion,576
"Life, Death and Vanilla Slices",9780748127726,Jenny Eclair,917505,12.99,12.99,748127720,05-07-2012,"Little, Brown Book Group",320
Common Sense,9780553898415,"Thomas Paine, Diana Gabaldon",917505,3.99,3.99,553898418,03-02-2004,Random House Publishing Group,
Ways of Seeing,9780141917986,John Berger,917505,14.99,14.99,141917989,25-09-2008,Penguin Books Ltd,176
book not found,9780230741140,,,,,,,,
The Blissful Baby Expert,9781473501539,Lisa Clegg,917505,19.99,19.99,1473501539,06-02-2014,Ebury Publishing,368
Down to the Woods,9781405925679,M. J. Arlidge,917505,15.99,15.99,1405925671,20-09-2018,Penguin Books Ltd,368
book not found,9780241984581,,,,,,,,
A Fall of Marigolds,9781101625545,Susan Meissner,917505,23.99,19.99,1101625546,04-02-2014,Penguin Publishing Group,304
"Love, Iris",9780241392102,Elizabeth Noble,917505,15.99,15.99,241392101,27-12-2018,Penguin Books Ltd,480
book not found,9780807014288,,,,,,,,
Tom Clancy's Support and Defend,9781405919319,Mark Greaney,917505,15.99,15.99,1405919310,22-07-2014,Penguin Books Ltd,416
11th Hour,9781407071565,James Patterson,917505,15.99,15.99,1407071564,01-03-2012,Random House,496
Soldiers Of The Queen,9780755128082,Max Hennessy,917505,8.79,7.99,755128087,01-10-2015,House of Stratus,366
Feral,9780141975597,George Monbiot,917505,15.99,15.99,141975598,30-05-2013,Penguin Books Ltd,256
If You Were Me,9780755378500,Sheila O'Flanagan,917505,11.99,11.99,755378504,03-07-2014,Headline,464
From the Dead,9780751540031,Mark Billingham,917504,22.99,20.40,075154003X,31-05-2011,Little Brown,496
Pretty Little Liars,9780748124619,Sara Shepard,917505,11.99,11.99,748124616,04-11-2010,"Little, Brown Book Group",256
Before We Was We,9780753553947,"Mike Barson, Mark Bedford, Chris Foreman, Graham McPherson, Dan Woodgate",917505,15.99,15.99,753553945,10-10-2019,Ebury Publishing,320
book not found,9780283070891,,,,,,,,
Red Country,9780575095854,Joe Abercrombie,917505,12.99,12.99,575095857,18-10-2012,Orion,560
One Flew Over the Cuckoo's Nest,9780141915067,"Ken Kesey, Joe Sacco",917505,15.99,15.99,141915064,23-08-2011,Penguin Books Ltd,320
The Fifth Queen,9780307744920,Ford Madox Ford,917505,17.14,13.99,307744922,04-10-2011,Knopf Doubleday Publishing Group,
Love,9781407020358,Toni Morrison,917505,15.99,15.99,1407020358,26-12-2008,Random House,208
Provided You Don't Kiss Me,9780007283033,Duncan Hamilton,917505,20.99,20.99,7283032,04-09-2008,HarperCollins Publishers,256
Christmas Bells,9781101984796,Jennifer Chiaverini,917504,44.75,44.75,1101984791,11-10-2016,Penguin Group USA,352
The Goldfinch,9781405529518,Donna Tartt,917505,12.99,12.99,1405529512,22-10-2013,"Little, Brown Book Group",784
Home,9781401395421,Julie Andrews,917505,21.99,21.99,1401395422,01-04-2008,Hachette Books,352
book not found,9780230741928,,,,,,,,
The Coddling of the American Mind,9780241308363,"Jonathan Haidt, Greg Lukianoff",917505,16.99,16.99,241308364,04-09-2018,Penguin Books Ltd,400
Trace,9780748109685,Patricia Cornwell,917505,11.99,11.99,748109684,04-09-2008,"Little, Brown Book Group",496
"Go Programming Language, The",9780134190563,"Alan A. A. Donovan, Brian W. Kernighan",917505,61.25,61.25,134190564,16-11-2015,Pearson Technology Group,0
The Wall,9780571298716,John Lanchester,917505,13.19,11.99,571298710,15-01-2019,Faber & Faber,320
The Little Book of Common Sense Investing,9781119404514,John C. Bogle,917505,29.99,29.99,1119404517,22-09-2017,Wiley,304
Macbeth,9780486113036,William Shakespeare,917505,1.45,1.45,486113035,03-02-2012,Dover Publications,96
Father Unknown,9780141924601,Lesley Pearse,917505,15.99,15.99,141924608,06-07-2006,Penguin Books Ltd,416
Murder Most Unladylike,9780141369778,Robin Stevens,917505,9.99,9.99,141369779,25-02-2016,Penguin Random House Children's UK,352
Girl,9780571341191,Edna O'Brien,917505,13.19,11.99,571341195,03-09-2019,Faber & Faber,320
The Brothers of Brigadier Station,9780648046219,Sarah Williams,917505,0.99,0.99,648046214,09-08-2017,Serenade Publishing,234
Tempting Fate,9780141967318,Jane Green,917505,15.99,15.99,141967315,12-09-2013,Penguin Books Ltd,400
Measure What Matters,9780241983881,John Doerr,917505,18.99,18.99,241983886,24-04-2018,Penguin Books Ltd,320
Find Me,9780571356515,André Aciman,917505,16.49,14.99,571356516,29-10-2019,Faber & Faber,256
Seeing Around Corners,9780358018971,Rita McGrath,917505,26.99,26.99,358018978,03-09-2019,HarperCollins,
Percy Jackson and the Lightning Thief (Book 1),9780141924403,Rick Riordan,917505,12.99,12.99,141924403,01-05-2008,Penguin Random House Children's UK,384
Star Wars Omnibus Knights of the Old Republic Vol. 1,9781302453640,"John Jackson Miller, Brian Ching, Travel Foreman",917505,29.33,23.99,1302453645,25-03-2015,Marvel Entertainment,
The Demigod Diaries,9780141344751,Rick Riordan,917505,14.99,14.99,014134475X,06-09-2012,Penguin Random House Children's UK,256
Forever Dreams,9780994105455,Leeanna Morgan,917505,9.99,9.99,994105452,02-10-2018,Rogan Press,
The Retribution,9780748125784,Val McDermid,917505,11.99,11.99,748125787,01-09-2011,"Little, Brown Book Group",544
book not found,9781405530668,,,,,,,,
The Water Cure,9780241983027,Sophie Mackintosh,917505,15.99,15.99,241983029,24-05-2018,Penguin Books Ltd,240
Fool Moon : Dresden Files,9780356500287,Jim Butcher,917504,20.40,20.40,356500284,05-05-2011,Little Brown,341
The Hangman's Song,9781405913195,James Oswald,917505,14.99,14.99,1405913193,27-02-2014,Penguin Books Ltd,400
The Pioppi Diet,9781405932677,"Dr Aseem Malhotra, Donal O'Neill",917505,14.99,14.99,1405932678,29-06-2017,Penguin Books Ltd,288
Dark Tales,9780241295434,Shirley Jackson,917505,15.99,15.99,241295432,06-10-2016,Penguin Books Ltd,176
Hornblower and the Hotspur,9780141930459,C.S. Forester,917505,15.99,15.99,141930454,05-10-2006,Penguin Books Ltd,304
The Fifth Elephant,9781407035208,Terry Pratchett,917505,15.99,15.99,1407035207,04-09-2008,Transworld,464
book not found,9780857667809,,,,,,,,
Eclipse,9780748112531,Stephenie Meyer,917505,11.99,11.99,748112537,26-02-2009,"Little, Brown Book Group",672
The Unmarried Mother,9781405911351,Sheila Tofield,917505,14.99,14.99,1405911352,28-03-2013,Penguin Books Ltd,240
Cruel And Unusual,9780748109357,Patricia Cornwell,917505,11.99,11.99,748109358,04-09-2008,"Little, Brown Book Group",448
Dani's Story,9780718158293,"Diane Lierow, Bernie Lierow",917505,14.99,14.99,718158296,29-09-2011,Penguin Books Ltd,288
book not found,9780071771320,,,,,,,,
book not found,9780156033121,,,,,,,,
Tower Lord,9781405525954,Anthony Ryan,917505,12.99,12.99,1405525959,03-07-2014,"Little, Brown Book Group",624
Always Managing,9781407060736,Harry Redknapp,917505,18.99,18.99,1407060732,10-10-2013,Ebury Publishing,432
book not found,9781101606605,,,,,,,,
The Bracelet,9780753541593,Fredrica Alleyn,917504,32.99,26.95,753541599,15-04-2013,RANDOM HOUSE UK,320
Feet Of Clay,9781407035024,Terry Pratchett,917505,14.99,14.99,1407035029,16-12-2008,Transworld,416
book not found,9780230763098,,,,,,,,
Dead Until Dark : A True Blood Novel,9780575089372,Charlaine Harris,917505,11.99,11.99,575089377,25-02-2010,Orion,352
book not found,9780719811135,,,,,,,,
book not found,9780062358486,,,,,,,,
Margaret Thatcher,9780241324752,Charles Moore,917505,19.99,19.99,241324750,03-10-2019,Penguin Books Ltd,880
Scaredy Cat,9780748109524,Mark Billingham,917505,11.99,11.99,748109528,04-09-2008,"Little, Brown Book Group",480
The Break,9781405918770,Marian Keyes,917505,15.99,15.99,1405918772,07-09-2017,Penguin Books Ltd,400
Black Notice,9780751544831,Patricia Cornwell,917504,22.99,20.40,751544833,01-11-2010,Little Brown,464
Last Man Off,9780241967454,Matt Lewis,917505,16.99,16.99,241967457,10-07-2014,Penguin Books Ltd,256
Dark Age,9780425285947,Pierce Brown,917504,49.25,49.25,425285944,30-07-2019,Del Rey Books,800
